season_id,club,expenditures
2014,AFC Bournemouth,4820000
2014,Arsenal FC,118980000
2014,Aston Villa,13450000
2014,Brentford FC,5598000
2014,Brighton & Hove Albion,3800000
2014,Chelsea FC,137700000
2014,Crystal Palace,31220000
2014,Everton FC,40160000
2014,Fulham FC,17430000
2014,Leeds United,9110000
2014,Leicester City,22860000
2014,Liverpool FC,151430000
2014,Manchester City,102800000
2014,Manchester United,195350000
2014,Newcastle United,45020000
2014,Nottingham Forest,10200000
2014,Southampton FC,96000000
2014,Tottenham Hotspur,48480000
2014,West Ham United,35150000
2014,Wolverhampton Wanderers,3850000
2015,AFC Bournemouth,55110000
2015,Arsenal FC,26500000
2015,Aston Villa,66550000
2015,Brentford FC,10390000
2015,Brighton & Hove Albion,13470000
2015,Chelsea FC,96500000
2015,Crystal Palace,28800000
2015,Everton FC,48900000
2015,Fulham FC,8665000
2015,Leeds United,6965000
2015,Leicester City,49900000
2015,Liverpool FC,126500000
2015,Manchester City,208470000
2015,Manchester United,156000000
2015,Newcastle United,107910000
2015,Nottingham Forest,0
2015,Southampton FC,60100000
2015,Tottenham Hotspur,71000000
2015,West Ham United,52700000
2015,Wolverhampton Wanderers,9343500
2016,AFC Bournemouth,40690000
2016,Arsenal FC,113000000
2016,Aston Villa,85500000
2016,Brentford FC,5150000
2016,Brighton & Hove Albion,8750000
2016,Chelsea FC,132800000
2016,Crystal Palace,101200000
2016,Everton FC,86000000
2016,Fulham FC,25550000
2016,Leeds United,8580000
2016,Leicester City,92100000
2016,Liverpool FC,79900000
2016,Manchester City,215000000
2016,Manchester United,185000000
2016,Newcastle United,64250000
2016,Nottingham Forest,4458312
2016,Southampton FC,68900000
2016,Tottenham Hotspur,83500000
2016,West Ham United,83500000
2016,Wolverhampton Wanderers,36100000
2017,AFC Bournemouth,34300000
2017,Arsenal FC,152850000
2017,Aston Villa,2800000
2017,Brentford FC,11320000
2017,Brighton & Hove Albion,66500000
2017,Chelsea FC,260500000
2017,Crystal Palace,48950000
2017,Everton FC,203200000
2017,Fulham FC,20172000
2017,Leeds United,28430000
2017,Leicester City,83845000
2017,Liverpool FC,173650000
2017,Manchester City,317500000
2017,Manchester United,198400000
2017,Newcastle United,46500000
2017,Nottingham Forest,7255000
2017,Southampton FC,61250000
2017,Tottenham Hotspur,123500000
2017,West Ham United,56800000
2017,Wolverhampton Wanderers,24610000
2018,AFC Bournemouth,91600000
2018,Arsenal FC,80150000
2018,Aston Villa,19100000
2018,Brentford FC,6550000
2018,Brighton & Hove Albion,87120000
2018,Chelsea FC,208800000
2018,Crystal Palace,11850000
2018,Everton FC,99800000
2018,Fulham FC,116500000
2018,Leeds United,11400000
2018,Leicester City,114600000
2018,Liverpool FC,182200000
2018,Manchester City,78590000
2018,Manchester United,82700000
2018,Newcastle United,59750000
2018,Nottingham Forest,27430000
2018,Southampton FC,62250000
2018,Tottenham Hotspur,0
2018,West Ham United,100900000
2018,Wolverhampton Wanderers,112750000
2019,AFC Bournemouth,54910905
2019,Arsenal FC,160800000
2019,Aston Villa,159500000
2019,Brentford FC,34650000
2019,Brighton & Hove Albion,61737000
2019,Chelsea FC,45000000
2019,Crystal Palace,7600000
2019,Everton FC,121000000
2019,Fulham FC,37000000
2019,Leeds United,290000
2019,Leicester City,104300000
2019,Liverpool FC,10400000
2019,Manchester City,159518181
2019,Manchester United,234800000
2019,Newcastle United,72900000
2019,Nottingham Forest,8000000
2019,Southampton FC,61500000
2019,Tottenham Hotspur,148500000
2019,West Ham United,119800000
2019,Wolverhampton Wanderers,116700000
2020,AFC Bournemouth,0
2020,Arsenal FC,86000000
2020,Aston Villa,101350000
2020,Brentford FC,7300000
2020,Brighton & Hove Albion,28500000
2020,Chelsea FC,247200000
2020,Crystal Palace,22400000
2020,Everton FC,73370000
2020,Fulham FC,37250000
2020,Leeds United,127800000
2020,Leicester City,59400000
2020,Liverpool FC,84050000
2020,Manchester City,173400000
2020,Manchester United,83800000
2020,Newcastle United,39000000
2020,Nottingham Forest,15140000
2020,Southampton FC,37300000
2020,Tottenham Hotspur,110500000
2020,West Ham United,54700000
2020,Wolverhampton Wanderers,87589000
2021,AFC Bournemouth,12640000
2021,Arsenal FC,167400000
2021,Aston Villa,129820000
2021,Brentford FC,36700000
2021,Brighton & Hove Albion,75000000
2021,Chelsea FC,118000000
2021,Crystal Palace,85615000
2021,Everton FC,39500000
2021,Fulham FC,22000000
2021,Leeds United,58900000
2021,Leicester City,67600000
2021,Liverpool FC,87000000
2021,Manchester City,138900000
2021,Manchester United,142000000
2021,Newcastle United,130500000
2021,Nottingham Forest,6994000
2021,Southampton FC,43100000
2021,Tottenham Hotspur,95900000
2021,West Ham United,74500000
2021,Wolverhampton Wanderers,37600800
2022,AFC Bournemouth,26900000
2022,Arsenal FC,132063636
2022,Aston Villa,70000000
2022,Brentford FC,50500000
2022,Brighton & Hove Albion,45734000
2022,Chelsea FC,281990000
2022,Crystal Palace,34600000
2022,Everton FC,78200000
2022,Fulham FC,61400000
2022,Leeds United,104342000
2022,Leicester City,17000000
2022,Liverpool FC,95300000
2022,Manchester City,139500000
2022,Manchester United,240320000
2022,Newcastle United,136350000
2022,Nottingham Forest,161950000
2022,Southampton FC,79400000
2022,Tottenham Hotspur,169900000
2022,West Ham United,182000000
2022,Wolverhampton Wanderers,136600000