,Position,First_Name,Surname,Team,Goals,Assists,Total_Points,Minutes,Goals_Conceded,Creativity,Influence,Threat,Bonus_Points,BPS,ICT_Index,Clean_Sheets,Red_Cards,Yellow_Cards,Selected_By_Percent,Now_cost,No_of_90s,Points_per_M_per_90
479,DEF,Matt,Ritchie,Newcastle,0,2,20,1333,37,420.1,225,92,0,207,73.9,0,0,5,0.2,4.9,14.81111111,0.275579099
483,FWD,Callum,Wilson,Newcastle,8,0,75,1386,32,116,248.8,434,14,220,78.2,3,0,4,1.5,7.1,15.4,0.685933785
491,MID,Jacob,Murphy,Newcastle,1,4,62,1457,35,280.2,261.6,275,0,215,81.4,2,0,4,0.4,4.6,16.18888889,0.832562442
496,MID,Sean,Longstaff,Newcastle,1,1,48,1458,29,114.8,230.4,93,1,206,44,2,0,1,0.5,4.3,16.2,0.689061154
485,MID,Ryan,Fraser,Newcastle,2,5,78,1459,23,428.1,250.2,324,8,263,99.2,5,0,3,0.3,5.1,16.21111111,0.943434262
490,DEF,Emil,Krafth,Newcastle,0,1,58,1636,20,102.7,270.4,54,3,262,42.9,6,0,5,0.2,4.3,18.17777778,0.74202536
495,MID,Miguel,Almirón,Newcastle,1,0,59,1706,32,234.7,224.6,343,0,228,80.5,6,0,2,0.2,5,18.95555556,0.622508792
478,MID,Jonjo,Shelvey,Newcastle,2,1,63,1981,30,246.7,320.8,156,6,292,72.6,6,1,5,0.1,5.3,22.01111111,0.540036002
474,MID,Joseph,Willock,Newcastle,2,3,79,2037,37,243.2,320.4,449,3,248,101.3,6,0,0,0.8,5.3,22.63333333,0.658571151
486,DEF,Jamaal,Lascelles,Newcastle,1,1,47,2055,44,46.4,399.8,276,2,284,71.9,3,0,5,0.2,4.4,22.83333333,0.467816855
492,DEF,Fabian,Schär,Newcastle,2,2,88,2158,32,115.9,465.2,234,10,383,81.7,6,0,4,2.5,4.1,23.97777778,0.895137774
482,GK,Martin,Dubravka,Newcastle,0,0,96,2340,35,10,566.4,0,9,465,57.7,8,0,1,2.8,4.4,26,0.839160839
476,DEF,Dan,Burn,Newcastle,1,1,92,2461,30,83.7,569.8,264,6,454,91.6,9,0,8,1.1,4.4,27.34444444,0.764655905
497,FWD,Joelinton Cássio,Apolinário de Lira,Newcastle,4,2,83,2554,46,386.4,529.6,583,7,323,149.5,7,0,8,1.7,5.9,28.37777778,0.495732848
477,FWD,Chris,Wood,Newcastle,5,0,91,2694,41,265.3,270.6,784,8,228,130.1,6,0,1,1.8,6.3,29.93333333,0.482553823
494,FWD,Allan,Saint-Maximin,Newcastle,5,7,116,2804,54,649.7,554.8,841,15,394,204.9,9,0,6,10.9,6.7,31.15555556,0.555709328
475,DEF,Matt,Targett,Newcastle,1,2,101,2871,47,623.8,567.4,184,7,530,137.6,9,0,3,2.8,4.7,31.9,0.673647702
524,DEF,Jacob,Sørensen,Norwich,0,0,9,600,18,12.2,104.6,86,0,92,20.4,0,0,0,0,4.3,6.666666667,0.313953488
526,FWD,Adam,Idah,Norwich,1,2,36,617,11,84,120.2,187,3,107,38.5,1,0,0,0.5,4.8,6.855555556,1.094003241
514,MID,Lukas,Rupp,Norwich,0,0,23,759,16,129.6,89.4,115,0,112,33.3,0,0,0,0.2,4.4,8.433333333,0.619834711
529,GK,Angus,Gunn,Norwich,0,0,31,810,22,0,305.4,0,3,177,30.6,1,0,0,1.8,4,9,0.861111111
520,MID,Kieran,Dowell,Norwich,1,1,41,905,24,243.3,133.8,80,1,122,45.4,2,0,0,0.1,5.1,10.05555556,0.799480013
537,DEF,Ozan,Kabak,Norwich,0,0,18,923,25,23.9,166.2,65,0,137,25.6,2,0,2,0,4.3,10.25555556,0.408173549
518,DEF,Sam,Byram,Norwich,0,0,20,1023,27,57.9,213,121,0,163,39.3,2,0,3,0,4.4,11.36666667,0.399893362
532,DEF,Dimitris,Giannoulis,Norwich,0,1,39,1165,27,131.1,255.2,51,2,241,43.8,4,0,2,0.1,4.4,12.94444444,0.68474444
535,FWD,Joshua,Sargent,Norwich,2,2,60,1566,33,166.7,189,323,3,205,68,4,0,1,0.2,5.4,17.4,0.638569604
538,MID,Mathias,Normann,Norwich,1,2,52,1643,40,208.2,273,111,3,206,58.9,4,0,6,0.1,4.5,18.25555556,0.632988436
508,MID,Billy,Gilmour,Norwich,0,1,49,1852,52,458.7,280.2,134,1,283,87.2,2,0,2,3,4.3,20.57777778,0.553769652
509,DEF,Brandon,Williams,Norwich,0,1,36,2119,52,289.3,371,80,4,346,74.5,2,0,8,4.6,3.9,23.54444444,0.392057211
530,MID,Milot,Rashica,Norwich,1,2,70,2228,56,488.5,286.8,437,0,191,121.4,4,0,0,0.1,5.2,24.75555556,0.543778484
533,MID,Pierre,Lees-Melou,Norwich,1,2,70,2261,55,377.2,357,239,1,341,97.1,5,0,5,0.1,4.8,25.12222222,0.580495356
531,DEF,Ben,Gibson,Norwich,0,0,53,2494,57,46.7,549.8,139,0,412,73.8,6,1,3,0.1,4.4,27.71111111,0.434679595
511,GK,Tim,Krul,Norwich,0,0,90,2610,62,13.4,749.8,0,11,527,76.4,5,0,1,1.4,4.5,29,0.689655172
515,MID,Kenny,McLean,Norwich,1,0,69,2707,62,184.9,346.6,355,0,308,88.8,6,0,3,0.1,4.9,30.07777778,0.468173971
523,DEF,Max,Aarons,Norwich,0,2,55,2879,69,315.2,497,166,2,413,97.4,4,0,8,0.9,4.3,31.98888889,0.399848138
516,DEF,Grant,Hanley,Norwich,1,0,71,2897,70,73.4,746.6,220,4,508,104.1,6,0,2,0.2,4.4,32.18888889,0.501302288
512,FWD,Teemu,Pukki,Norwich,11,3,142,3253,79,355.7,527.4,1049,19,441,193.2,6,0,4,9.6,6.1,36.14444444,0.644046101
558,MID,Nathan,Tella,Southampton,0,2,29,802,18,102.2,79.4,138,0,81,31.7,1,0,2,0,4.7,8.911111111,0.692417891
551,DEF,Jack,Stephens,Southampton,0,0,12,810,19,47.7,176,6,0,135,23.1,1,0,3,0.1,4.4,9,0.303030303
571,DEF,Lyanco Evangelista,Silveira Neves Vojnovic,Southampton,0,0,19,906,20,35.3,194.2,58,1,155,28.7,1,0,2,0,4.4,10.06666667,0.428958459
561,MID,Ibrahima,Diallo,Southampton,0,3,44,1016,21,209.6,177.6,79,3,187,46.6,1,0,1,0.1,4.5,11.28888889,0.866141732
569,FWD,Adam,Armstrong,Southampton,2,3,57,1409,31,173.9,179.2,567,3,150,91.3,4,0,1,1.4,5.7,15.65555556,0.638750887
552,MID,Stuart,Armstrong,Southampton,2,1,57,1465,30,363.7,249.4,369,3,239,98.2,3,0,1,0.2,5.8,16.27777778,0.603742497
548,GK,Alex,McCarthy,Southampton,0,0,55,1530,27,10,320.2,0,3,286,33.1,5,0,1,1.2,4.3,17,0.752393981
564,DEF,Romain,Perraud,Southampton,0,1,38,1621,33,152.7,195.2,178,1,189,52.4,3,0,3,0.1,4.8,18.01111111,0.439543492
547,GK,Fraser,Forster,Southampton,0,0,57,1710,35,0,559.8,0,6,330,56.2,3,0,1,1.2,4.4,19,0.681818182
550,MID,Nathan,Redmond,Southampton,1,6,79,1827,33,506.7,330.4,289,6,313,112.6,4,0,0,0.1,5.9,20.3,0.659597562
567,FWD,Armando,Broja,Southampton,6,2,92,1969,37,159.2,280.2,720,11,234,115.6,5,0,2,7.9,5.3,21.87777778,0.793430244
557,FWD,Che,Adams,Southampton,7,4,103,2034,40,337,425.8,800,11,333,156.4,5,0,0,2.6,6.5,22.6,0.70115725
566,MID,Mohamed,Elyounoussi,Southampton,4,3,90,2039,35,331.1,379.8,719,6,243,142.8,8,0,4,0.2,5.4,22.65555556,0.735654733
565,DEF,Tino,Livramento,Southampton,1,2,80,2200,42,327.4,437.2,221,7,440,98.8,7,0,2,6.6,4.2,24.44444444,0.779220779
555,DEF,Jan,Bednarek,Southampton,4,0,94,2629,52,88.1,699.6,321,15,499,111.2,7,0,10,1.4,4.4,29.21111111,0.73135309
554,DEF,Kyle,Walker-Peters,Southampton,1,3,82,2630,49,364.1,465.2,423,7,481,124.9,6,0,5,1.1,4.8,29.22222222,0.58460076
549,MID,Oriol,Romeu Vidal,Southampton,2,2,88,2890,52,521.5,527.4,247,6,487,129.8,7,0,9,0.5,4.5,32.11111111,0.60899654
563,DEF,Mohammed,Salisu,Southampton,0,0,58,2971,58,132.3,720,330,4,478,117.9,6,1,8,0.2,4.5,33.01111111,0.390440929
553,MID,James,Ward-Prowse,Southampton,10,5,159,3215,65,1159.6,933.6,394,21,769,248.9,7,1,3,5.3,6.4,35.72222222,0.695470451
595,DEF,Japhet,Tanganga,Tottenham Hotspur,0,0,29,735,11,48.1,118,108,0,133,27.5,5,1,2,0.8,4.2,8.166666667,0.84548105
585,DEF,Matt,Doherty,Tottenham Hotspur,2,5,67,871,11,224.4,279.6,291,8,255,79.6,3,0,0,0.8,4.5,9.677777778,1.538461538
590,MID,Harry,Winks,Tottenham Hotspur,0,2,33,904,15,198.4,167.8,20,1,175,38.7,1,0,2,1,4.4,10.04444444,0.746681416
592,DEF,Ryan,Sessegnon,Tottenham Hotspur,0,3,56,1046,11,178.1,159.2,129,3,231,46.6,6,0,2,2.1,4.4,11.62222222,1.095080827
609,MID,Dejan,Kulusevski,Tottenham Hotspur,5,9,99,1259,11,343.6,346.6,382,8,343,106.9,9,0,3,10.9,6.3,13.98888889,1.12334052
597,MID,Oliver,Skipp,Tottenham Hotspur,0,0,34,1346,13,151.5,183.8,39,0,180,37.4,8,0,6,0.6,4.4,14.95555556,0.516682426
610,MID,Rodrigo,Bentancur,Tottenham Hotspur,0,4,52,1360,12,205,274.2,118,4,266,59.7,9,0,5,0.1,4.9,15.11111111,0.702280912
591,DEF,Davinson,Sánchez,Tottenham Hotspur,2,1,93,1626,16,93.1,408.2,186,8,417,68.8,10,0,4,2,4.2,18.06666667,1.225619399
587,MID,Lucas,Rodrigues Moura da Silva,Tottenham Hotspur,2,6,87,1763,21,466.2,370.6,431,4,324,126.7,8,0,4,1.3,5.9,19.58888889,0.752761568
602,DEF,Cristian,Romero,Tottenham Hotspur,1,0,63,1844,25,98.9,498.8,102,10,385,69.9,5,0,8,0.7,4.8,20.48888889,0.640591106
594,DEF,Sergio,Reguilón,Tottenham Hotspur,2,4,104,1914,25,459.9,468.8,362,9,438,129.3,9,0,4,7.2,5,21.26666667,0.978056426
604,DEF,Emerson Aparecido,Leite de Souza Junior,Tottenham Hotspur,1,1,102,2282,26,446.1,454.6,298,8,489,120,10,0,5,2.5,4.6,25.35555556,0.874518919
588,DEF,Ben,Davies,Tottenham Hotspur,1,2,105,2537,30,199.6,482.2,243,3,490,92.8,12,0,6,3.1,4.5,28.18888889,0.82774931
584,MID,Heung-Min,Son,Tottenham Hotspur,23,10,258,3009,30,1037.8,1128.6,1211,27,819,338.2,18,0,2,35.6,11.2,33.43333333,0.689004415
586,DEF,Eric,Dier,Tottenham Hotspur,0,1,132,3071,30,116.3,710.6,195,7,680,102.2,16,0,1,6.5,4.7,34.12222222,0.823073779
589,MID,Pierre-Emile,Højbjerg,Tottenham Hotspur,2,3,109,3196,34,413.6,690,315,6,616,141.9,16,0,3,2.6,4.8,35.51111111,0.639471214
582,FWD,Harry,Kane,Tottenham Hotspur,17,11,192,3231,40,637.9,969.4,1701,23,684,330.4,14,0,5,23.4,12.5,35.9,0.427855153
579,GK,Hugo,Lloris,Tottenham Hotspur,0,0,158,3420,40,23,743.6,0,11,703,76.6,16,0,2,8.5,5.5,38,0.755980861
617,DEF,Danny,Rose,Watford,0,0,7,688,16,80.5,104.8,39,0,75,22.4,0,0,4,0.2,4.2,7.644444444,0.218023256
660,MID,Edo,Kayembe,Watford,0,0,24,795,17,90.4,117.2,27,1,127,23.5,2,0,0,0,4.5,8.833333333,0.603773585
630,MID,Ken,Sema,Watford,0,0,26,844,16,159.9,84.8,51,0,81,29.5,2,0,1,0,5.2,9.377777778,0.533175355
639,DEF,Jeremy,Ngakia,Watford,0,0,28,896,19,74,171.8,16,2,154,25.9,2,0,0,0,4.2,9.955555556,0.669642857
629,DEF,Adam,Masina,Watford,0,1,25,1075,26,106.6,198.6,31,2,179,33.7,1,0,0,0.1,4.3,11.94444444,0.486749594
628,GK,Daniel,Bachmann,Watford,0,0,25,1080,28,0,300.6,0,0,196,30.2,0,0,0,1.3,4,12,0.520833333
650,FWD,Juan Camilo,Hernández Suárez,Watford,5,2,62,1138,34,289.4,303.6,397,8,247,98.5,1,0,3,1.6,4.9,12.64444444,1.000681468
624,DEF,Christian,Kabasele,Watford,0,0,21,1190,30,27.1,217,42,0,163,28.7,1,0,0,0.1,4.3,13.22222222,0.369357045
626,DEF,William,Troost-Ekong,Watford,0,0,18,1388,30,14.1,252.6,17,0,171,28.4,0,0,3,0.1,4.3,15.42222222,0.271429529
642,MID,Imrân,Louza,Watford,0,0,31,1415,38,228.2,232.6,122,0,173,58.4,3,0,6,0,5.2,15.72222222,0.379179125
621,MID,Tom,Cleverley,Watford,0,2,48,1611,38,301.6,211.8,133,0,209,64.6,2,0,2,0.1,4.8,17.9,0.558659218
658,DEF,Hassane,Kamara,Watford,1,0,38,1622,37,152.5,352,45,3,299,54.7,3,1,3,0.1,4.5,18.02222222,0.468557337
643,FWD,João Pedro,Junqueira de Jesus,Watford,3,1,60,1634,35,279.6,318.2,587,4,207,118.8,2,0,1,0.5,5.4,18.15555556,0.611995104
659,DEF,Samir,Caetano de Souza Santos,Watford,0,0,36,1674,36,24.7,292.2,121,0,272,43.9,4,0,4,0,4.5,18.6,0.430107527
638,MID,Ismaila,Sarr,Watford,5,2,81,1862,40,298.1,342.4,540,9,217,118,2,0,2,2.7,5.7,20.68888889,0.686867545
651,MID,Juraj,Kucka,Watford,1,2,54,1917,34,164.2,304.8,353,2,218,82.1,2,1,3,0.1,5.5,21.3,0.460947503
622,DEF,Francisco,Femenía Far,Watford,0,5,53,2143,49,393.9,404,36,1,385,83.7,2,0,2,0.1,4.3,23.81111111,0.517639909
648,FWD,Joshua,King,Watford,5,4,87,2244,47,444.1,391.8,692,5,268,152.4,3,0,5,2.9,5.6,24.93333333,0.623090145
616,GK,Ben,Foster,Watford,0,1,81,2340,49,10,559.2,0,9,433,57,4,0,0,19.7,4.2,26,0.741758242
619,DEF,Craig,Cathcart,Watford,0,1,50,2394,55,46.4,504.6,42,1,393,59.3,3,0,3,0.2,4.2,26.6,0.44754744
645,FWD,Emmanuel,Dennis,Watford,10,7,134,2579,60,453.4,667.6,932,21,425,205.2,3,1,7,20,5.8,28.65555556,0.806246741
615,MID,Moussa,Sissoko,Watford,2,1,85,3220,73,513.2,558.4,308,1,408,138.1,4,0,5,2.3,4.3,35.77777778,0.552506139
678,DEF,Arthur,Masuaku,West Ham,1,1,29,645,12,57.2,178.2,39,3,145,27.5,1,0,1,0.1,4.4,7.166666667,0.919661734
670,DEF,Angelo,Ogbonna,West Ham,1,0,40,921,11,5.3,167,67,6,182,24,3,0,1,0.2,4.9,10.23333333,0.797713222
685,DEF,Issa,Diop,West Ham,0,1,30,961,19,21.3,225.6,44,2,203,29.1,2,0,0,0.3,4.2,10.67777778,0.668946038
686,DEF,Ben,Johnson,West Ham,1,0,48,1397,18,176.1,307.2,39,1,235,52.3,3,0,1,3.6,3.9,15.52222222,0.79290788
677,MID,Manuel,Lanzini,West Ham,5,3,92,1777,29,367.2,420.2,201,8,440,99.1,4,0,2,0.4,5.6,19.74444444,0.832060455
666,DEF,Kurt,Zouma,West Ham,1,0,66,2078,29,32.8,496.2,131,5,388,66.2,5,0,1,1.2,5.4,23.08888889,0.529355149
680,MID,Saïd,Benrahma,West Ham,8,6,138,2162,27,476.4,561,737,15,441,177.6,9,0,0,10.7,5.9,24.02222222,0.973674721
679,DEF,Vladimir,Coufal,West Ham,0,4,70,2207,36,331.5,415.8,161,3,384,90.6,6,1,3,3.1,4.7,24.52222222,0.60735185
672,DEF,Aaron,Cresswell,West Ham,2,4,115,2726,38,542.4,575,151,17,578,127,7,0,3,7.9,5.4,30.28888889,0.703105894
675,DEF,Craig,Dawson,West Ham,2,3,90,2752,43,61.6,684.2,387,1,466,113.5,6,1,4,0.8,4.9,30.57777778,0.600676317
684,MID,Pablo,Fornals,West Ham,6,4,117,2795,38,704.4,569,528,5,480,180.2,8,0,4,1.3,5.9,31.05555556,0.638549468
674,FWD,Michail,Antonio,West Ham,10,10,140,2975,43,613.5,611.6,1263,14,441,247.6,7,1,6,24.3,7.3,33.05555556,0.580177276
681,MID,Jarrod,Bowen,West Ham,12,17,206,2987,46,624.6,819.4,1201,24,586,264.7,8,0,6,15,6.9,33.18888889,0.899550225
683,MID,Tomas,Soucek,West Ham,5,1,114,3061,46,299.8,653.4,686,14,485,164.3,6,0,3,3.4,5.7,34.01111111,0.588043123
682,MID,Declan,Rice,West Ham,1,4,95,3178,49,391,740.2,277,7,595,141.3,8,0,8,4.3,5,35.31111111,0.538074261
669,GK,Lukasz,Fabianski,West Ham,0,0,136,3330,50,0,887,0,9,661,88.6,8,0,2,2.8,5,37,0.735135135
701,DEF,Willy,Boly,Wolves,0,0,17,900,20,18,157.2,27,0,165,20.3,1,0,1,0.1,4.9,10,0.346938776
706,DEF,Jonathan,Castro Otto,Wolves,2,0,38,1022,22,159.5,203,144,2,178,50.7,2,0,1,0.6,4.5,11.35555556,0.743639922
708,MID,Adama,Traoré,Wolves,1,1,44,1069,10,271.1,192,300,0,168,76.6,5,0,0,1,5.6,11.87777778,0.661499399
721,MID,Francisco,Machado Mota de Castro Trincão,Wolves,2,1,66,1328,15,247.1,240,390,2,197,87.7,7,0,0,0.3,5.6,14.75555556,0.798730637
705,DEF,Fernando,Marçal,Wolves,0,3,67,1448,14,187.3,247.2,135,5,295,56.3,6,0,3,1.3,4.2,16.08888889,0.991515391
711,MID,Daniel,Castelo Podence,Wolves,2,3,70,1475,12,493,328.6,459,2,257,128.2,9,0,2,0.2,5.5,16.38888889,0.776579353
728,FWD,Hee-Chan,Hwang,Wolves,5,1,81,1811,22,258.6,318,433,11,288,100.5,7,0,2,3.4,5.4,20.12222222,0.745444506
722,DEF,Rayan,Ait Nouri,Wolves,1,4,87,1826,26,320.8,371,167,10,367,86.2,7,0,4,1.3,4.1,20.28888889,1.045868619
707,MID,Leander,Dendoncker,Wolves,2,3,76,1945,29,175.5,339,258,5,308,77.4,5,0,4,0.3,4.6,21.61111111,0.764502068
710,DEF,Nélson,Cabral Semedo,Wolves,0,1,94,2131,18,289.3,346.2,266,9,412,90.3,9,0,1,1.5,4.8,23.67777778,0.82707649
703,FWD,Raúl,Jiménez,Wolves,6,5,101,2630,32,481.4,441.4,742,11,266,165.3,11,2,5,4.2,7.5,29.22222222,0.460836502
709,MID,Rúben Diogo,da Silva Neves,Wolves,4,2,95,2659,34,408.2,617.4,237,7,509,126.3,9,0,9,0.9,5.2,29.54444444,0.618364336
712,DEF,Max,Kilman,Wolves,1,1,106,2688,25,68.8,587.8,207,5,536,86.5,10,0,3,1.3,4.5,29.86666667,0.788690476
704,DEF,Romain,Saïss,Wolves,2,0,109,2706,30,112.2,694.6,214,6,540,102.3,11,0,6,2.1,4.8,30.06666667,0.755266075
699,MID,João Filipe Iria,Santos Moutinho,Wolves,2,1,96,2970,40,645.2,512.6,144,8,511,130.1,11,0,4,0.7,4.9,33,0.593692022
723,GK,José,Malheiro de Sá,Wolves,0,1,146,3285,40,30,938.8,0,11,722,96.7,11,0,3,8.3,5.2,36.5,0.769230769
702,DEF,Conor,Coady,Wolves,4,0,138,3361,43,45.4,737.2,202,10,688,98.8,11,0,4,13.4,4.7,37.34444444,0.786240164