Index,Year,Value
TPI,1992,1
TPI,1993,1.1858
TPI,1994,1.8
TPI,1995,2.5748
TPI,1996,2.5286
TPI,1997,2.0857
TPI,1998,2.8978
TPI,1999,2.9895
TPI,2000,3.9055
TPI,2001,5.2075
TPI,2002,4.1384
TPI,2003,3.4264
TPI,2004,3.7095
TPI,2005,3.749
TPI,2006,4.2031
TPI,2007,5.832
TPI,2008,8.3719
TPI,2009,6.4899
TPI,2010,7.8468
TPI,2011,6.5068
TPI,2012,6.8307
TPI,2013,9.6774
TPI,2014,10.7755
TPI,2015,12.4834
TPI,2016,18.2863
TPI,2017,27.0662
TPI,2018,22.32
TPI,2019,28.0931
TPI,2020,26.9998
TPI,2021,30.3841
TPI,2022,33.3874
CPI ,1992,1
CPI ,1993,1.02
CPI ,1994,1.05
CPI ,1995,1.07
CPI ,1996,1.1
CPI ,1997,1.12
CPI ,1998,1.14
CPI ,1999,1.15
CPI ,2000,1.16
CPI ,2001,1.18
CPI ,2002,1.19
CPI ,2003,1.21
CPI ,2004,1.22
CPI ,2005,1.25
CPI ,2006,1.28
CPI ,2007,1.31
CPI ,2008,1.35
CPI ,2009,1.38
CPI ,2010,1.43
CPI ,2011,1.49
CPI ,2012,1.53
CPI ,2013,1.57
CPI ,2014,1.6
CPI ,2015,1.6
CPI ,2016,1.61
CPI ,2017,1.65
CPI ,2018,1.69
CPI ,2019,1.72
CPI ,2020,1.74
CPI ,2021,1.78
CPI ,2022,2.02